Accession,ANK-LT-1,ANK-LT-2,ANK-LT-3,ANK-PSP-LT-1,ANK-PSP-LT-2,ANK-PSP-LT-3
APX,12.02,10.289,11.627,13.892,7.751,10.821
CAT,5.484,5.77,4.398,4.262,8.065,6.364
cwPOX,0.045,0.049,0.023,0.048,0.069,0.026
DHAR,2.255,1.971,2.213,9.059,11.812,9.435
GR,8.776,12.045,10.826,14.034,7.005,11.52
GST,6.461,6.816,6.139,5.593,4.164,4.979
MDHAR,0.381,0.405,0.459,0.59,0.477,0.434
POX,0.143,0.168,0.165,0.037,0.047,0.038
SOD,41.118,37.171,48.822,57.26,64.714,58.987
Pn,7.02,7.03,7.26,6.35,6.81,7.21
Tr,0.26,0.24,0.26,0.27,0.25,0.24
Ci,77,89,98,89,69,92
AGPase,0.59,0.59,0.556,0.618,0.618,0.573
Ald,5.265,6.948,6.107,7.258,7.076,7.167
cwInv,31.988,31.231,31.61,21.715,18.623,20.169
cytInv,148.073,150.759,145.387,190.555,187.581,193.529
FK,0.017,0.016,0.018,0.31,0.353,0.388
G6PDH,2.391,1.921,2.156,2.506,2.468,2.545
HXK,0.046,0.033,0.041,0.023,0.023,0.022
PFK,1.018,1.277,0.76,1.984,2.691,2.337
PGI,5.418,6.086,4.749,3.213,3.728,2.698
PGM,3.775,5.176,3.662,2.051,2.515,0.268
SuSy,6.63,6.37,6.5,8.33,10.361,9.346
UGPase,1.198,2.075,1.894,3.904,3.834,3.974
vacInv,149.645,154.743,144.547,147.498,121.86,173.136
Sucrose,3.687,4.039,3.725,3.572,3.714,3.917
Starch,2.13,1.901,1.993,1.1,1.584,1.487
MDA,13.005,12.971,13.183,11.512,11.154,10.256
