Accession,WT-LT-1,WT-LT-2,WT-LT-3,WT-PSP-LT-1,WT-PSP-LT-2,WT-PSP-LT-3
APX,9.811,11.462,10.024,8.314,9.076,8.704
CAT,4.747,5.571,5.059,2.495,2.363,2.407
cwPOX,0.054,0.028,0.04,0.053,0.03,0.017
DHAR,0.811,0.604,0.198,1.457,1.388,1.222
GR,7.6,7.952,9.247,11.932,11.4,12.478
GST,0.506,0.8,0.753,0.587,0.608,0.773
MDHAR,0.426,0.383,0.486,0.323,0.351,0.396
POX,0.16,0.158,0.115,0.035,0.03,0.026
SOD,57.826,27.47,41.648,35.319,31.377,49.839
Pn,11.26,12.17,11.67,14.12,14.92,14.33
Tr,0.67,0.6,0.58,0.9,0.81,0.86
Ci,90,98,102,129,122,132
Gs,0.04,0.05,0.04,0.06,0.05,0.06
AGPase,0.341,0.396,0.369,0.427,0.408,0.417
Ald,7.479,5.422,5.312,6.892,5.679,5.145
cwInv,32.485,32.67,26.56,27.225,27.748,28.272
cytInv,100.666,95.85,98.258,53.745,58.761,53.126
FK,0.207,0.193,0.179,0.061,0.054,0.058
G6PDH,3.208,2.401,2.466,2.345,2.491,2.637
HXK,0.031,0.051,0.041,0.032,0.038,0.043
PFK,0.611,0.51,0.56,0.664,0.654,0.643
PGI,1.811,1.66,1.735,0.672,0.636,0.6
PGM,1.875,1.523,1.699,1.044,1.364,1.204
SuSy,7.884,7.729,7.806,0.255,0.612,5.133
UGPase,1.323,1.073,1.361,1.218,1.352,1.188
vacInv,137.95,141.475,134.425,104.711,104.49,104.931
Sucrose,4.77,4.375,5.219,6.094,5.692,6.231
Starch,2.14,2.129,2.568,3.178,3.048,3.716
MDA,11.638,10.995,8.516,6.96,6.381,6.888
